# NUMBER_1   ALPHA_SKY_1          DELTA_SKY_1          X_IMAGE_1    Y_IMAGE_1    XWIN_IMAGE_1         YWIN_IMAGE_1         XMODEL_IMAGE_1       YMODEL_IMAGE_1       FLUX_AUTO_1   FLUX_MODEL_1   FLUXERR_AUTO_1   FLUXERR_MODEL_1   MAG_AUTO_1   MAG_MODEL_1   MAGERR_AUTO_1   MAGERR_MODEL_1   FLUX_RADIUS_1   FLAGS_1   NITER_MODEL_1   NUMBER_2   ALPHA_SKY_2          DELTA_SKY_2          X_IMAGE_2    Y_IMAGE_2   XWIN_IMAGE_2         YWIN_IMAGE_2         XMODEL_IMAGE_2       YMODEL_IMAGE_2       FLUX_AUTO_2   FLUX_MODEL_2   FLUXERR_AUTO_2   FLUXERR_MODEL_2   MAG_AUTO_2   MAG_MODEL_2   MAGERR_AUTO_2   MAGERR_MODEL_2   FLUX_RADIUS_2   FLAGS_2   NITER_MODEL_2   Separation            
  22         114.62434292531815   21.614510395600824   264.0169     967.51855    264.1458490418424    967.553726497488     264.2350414097309    967.6260612010956    706.9094      667.1316       54.84129         62.725792         17.67449     17.73737      0.08425074      0.102109104      3.449046        0         40              22         114.62417699564242   21.61459779892512    262.38562    968.4907    262.21073072448615   968.4288459127907    262.18590937554836   968.4296275675297    1631.318      1640.9087      54.720337        70.27572          16.828253    16.82189      0.03642839      0.04651047       3.5378585       0         34              0.6382882495771497    
  23         114.62682425747224   21.61437130747843    234.09038    966.1812     234.0515395663489    966.1575051125856    234.0465411953628    966.143787547946     1031.3657     941.5258       48.93932         45.917824         17.264368    17.36332      0.05153177      0.05296377       3.0543296       0         37              23         114.62667633500817   21.61443044115299    232.25598    966.7395    232.36339816953551   966.7195375162152    232.3603864312172    966.7184893488884    2282.5073     2281.7612      63.119415        69.18316          16.46357     16.463924     0.030031748     0.032927595      3.512461        0         48              0.5389051481522018    
  24         114.60283046665666   21.61453792950209    523.23395    963.8609     523.0510936005696    964.052487741089     523.0175802018493    964.0400149784982    1095.0756     1118.1292      51.438114        63.77365          17.19929     17.17667      0.051011816     0.061941132      3.1522973       0         28              25         114.60268539381299   21.61457904482044    521.2064     964.6845    521.1575123854687    964.7621997314201    521.1322773993015    964.7805533260107    2170.952      2212.6453      61.057915        64.75295          16.517975    16.49732      0.030543696     0.031781737      3.471478        0         34              0.5075981730350612    
  25         114.61820609834378   21.614637367087273   337.98727    968.0153     337.99200922157314   968.0107437274434    337.8907603919506    968.1745494455099    131.10634     37.95887       13.821144        80.05531          19.50384     20.849617     0.114485405     2.2903757        0.41765386      0         36              26         114.61790014368665   21.614643244173045   337.98602    968.03503   337.9860859483245    968.0530056712889    337.92490565031767   968.3189159929752    123.76765     19.021694      16.430931        27.063263         19.628082    21.661476     0.14417331      1.5451149        0.40505376      0         38              1.0242049205324917    
  26         114.58216751310658   21.614454314315587   772.19336    958.955      772.2401649159856    958.915768425269     772.2238184511662    958.9267499819398    8652.342      8699.864       64.95286         75.504196         14.955065    14.949118     0.008152568     0.009425154      3.1728315       0         33              24         114.58199244018836   21.614438110226498   770.38806    959.4618    770.3091521773551    959.5588054876363    770.3177127242088    959.5428282022476    24115.848     24111.05       100.096504       112.713196        13.903844    13.904059     0.0045076087    0.0050767814     3.8002703       0         36              0.5888413862428148    
  28         114.63719599411813   21.613546482653575   108.9504     957.4412     108.99210682989613   957.5449982373823    108.9848818751052    957.5371401309967    8751.232      8740.504       65.27234         82.27937          14.942726    14.944058     0.008100089     0.010223141      3.1833508       0         32              27         114.637062545535     21.613634545085127   107.03101    958.1664    107.06830161591762   958.1981348405561    107.05852232500911   958.195190295577     17197.47      17236.62       90.45389         99.86678          14.270939    14.26847      0.0057120565    0.006292146      3.686675        0         43              0.5477123979765229    
  29         114.5831836264656    21.6154467763254     760.1465     972.00525    760.0406963573478    972.0104042829116    760.3430269658566    972.5033634901047    93.682274     185.35947      13.868046        700.30927         19.868755    19.127863     0.16076358      4.103032         0.52563685      0         29              21         114.582876530962     21.615389460191707   759.90814    971.93      759.9839612864326    971.9000017017588    759.9732712320983    971.8872213289142    176.52458     442.62103      27.414186        265.66727         19.242586    18.24452      0.1686553       0.6518322        1.7857697       0         39              1.0483064287242918    
  30         114.60084412900811   21.61393960439005    547.0486     955.7373     547.0127959466962    955.9269636042484    547.1326822340488    955.7137564122677    83.14775      68.52129       12.590289        17.888634         19.998274    20.208336     0.16444287      0.28351852       0.6806242       0         73              29         114.60055628855085   21.613917637001837   546.7301     955.7656    548.7568300663085    957.2366595068739    546.1360650658607    956.3387968242168    41.415855     7.1824427      10.090785        20.757467         20.816683    22.71892      0.26459897      3.1385715        0.45632356      0         77              0.9666059704378365    
  31         114.6189332851604    21.613390017849714   328.9742     951.98474    328.962161839836     951.9838464550788    327.42940533161163   951.5050627291203    174.37567     0.013417765    14.097897        4.149955          19.194185    29.478699     0.087800756     335.88687        0.41486835      0         9               30         114.61862325944978   21.61339498752699    329.05438    951.98535   329.0657384486064    951.9768349973709    330.9339528083801    951.3120258450508    129.287       20.888147      16.460896        35.025085         19.580713    21.55985      0.13827014      1.8209965        0.35531786      0         36              1.0377747793947332    
  32         114.59196838745756   21.61198247262691    653.60693    928.72687    653.5969445458178    928.7505512411175    653.6005690097809    928.7466490864754    41643.098     41830.6        103.94457        139.67426         13.249042    13.2441635    0.0027107447    0.0036262027     3.172732        0         36              31         114.59181575558179   21.61198890710696    651.6528     929.34344   651.6005571073919    929.4001785110614    651.6253591179848    929.3810314238071    126686.34     127389.19      173.17033        302.30463         12.102776    12.096768     0.0014844772    0.002577164      3.8030071       0         38              0.5113712940430174    
