# NUMBER_1   ALPHA_SKY_1          DELTA_SKY_1           X_IMAGE_1    Y_IMAGE_1    XWIN_IMAGE_1         YWIN_IMAGE_1         XMODEL_IMAGE_1       YMODEL_IMAGE_1       FLUX_AUTO_1   FLUX_MODEL_1   FLUXERR_AUTO_1   FLUXERR_MODEL_1   MAG_AUTO_1   MAG_MODEL_1   MAGERR_AUTO_1   MAGERR_MODEL_1   FLUX_RADIUS_1   FLAGS_1   NITER_MODEL_1   NUMBER_2   ALPHA_SKY_2          DELTA_SKY_2           X_IMAGE_2    Y_IMAGE_2    XWIN_IMAGE_2         YWIN_IMAGE_2         XMODEL_IMAGE_2       YMODEL_IMAGE_2       FLUX_AUTO_2   FLUX_MODEL_2   FLUXERR_AUTO_2   FLUXERR_MODEL_2   MAG_AUTO_2   MAG_MODEL_2   MAGERR_AUTO_2   MAGERR_MODEL_2   FLUX_RADIUS_2   FLAGS_2   NITER_MODEL_2   Separation            
  28         244.2804785583114    -22.932788046426904   320.98868    910.00543    320.98988081568433   910.0082619167185    318.52613401412964   910.3778830766678    216.44551     20.475681      13.573999        88.20311          17.84393     20.404205     0.06810658      4.678163         0.4098612       0         30              26         244.2802166163529    -22.932806549273803   321.00287    910.0093     321.0032713099581    910.0091778471594    320.0857435464859    911.8962271213531    212.85449     11.427608      15.324668        25.058971         17.856293    21.031612     0.07818764      2.3814297        0.40551838      0         55              0.8710101414336094    
  29         244.2656470354738    -22.93371247413815    497.5774     895.2706     498.8316474987104    895.4932566293404    498.868104994297     895.4727489054203    456.9142      430.21957      47.81662         42.569542         17.032715    17.098076     0.1136512       0.10745797       4.079489        2         65              27         244.2656052901402    -22.93368197167039    494.951      895.9098     494.9605193582226    895.9645441307116    495.02073653414845   895.9839766994119    1996.5977     1896.5492      91.02858         96.597336         15.425774    15.48159      0.049512748     0.055313464      5.630289        0         39              0.17667409035771225   
  30         244.27452331093775   -22.93377771236708    391.76865    896.0868     391.9014914501951    896.0330837297937    391.55440670251846   896.1329443156719    88.09295      107.062775     12.143577        17.822248         18.819948    18.608204     0.14970465      0.18078144       0.6510264       0         44              30         244.2742644596878    -22.933770744169728   391.73865    896.4056     391.901043900774     896.2146164814252    391.7613180577755    896.4054454863071    65.07425      90.29061       11.951745        14.329241         19.142977    18.787394     0.19945824      0.17234965       0.7512892       0         57              0.8585726280066974    
  31         244.2918682852014    -22.93397396516609    184.99577    896.7732     185.00894216345512   896.936518560647     184.77923028171062   896.4364649653435    32.38739      34.70976       9.058224         152.05057         19.90636     19.831171     0.30373645      4.757363         0.41858286      0         17              29         244.29163657588902   -22.93399282639414    184.6641     896.8127     184.69815290910876   896.9854208346471    184.5176907479763    896.2540184259415    66.057755     78.47009       13.435489        449.82056         19.12669     18.93974      0.22088157      6.225367         0.74827063      0         19              0.771212315564139     
  32         244.27927846827595   -22.93416606656575    335.01376    891.9477     335.0210832449658    891.9508804830499    335.2913258075714    891.4511874914169    92.64098      66.2992        12.733637        81.09604          18.765293    19.12853      0.14927226      1.3283764        0.4018476       0         16              31         244.27900866787851   -22.934171574698095   335.11807    892.1172     335.3024900739594    892.1217969188586    337.0446603298187    894.2300179004669    79.69819      28.731592      13.867994        17.142593         18.922878    20.030602     0.18897094      0.6479577        0.34172517      0         59              0.8947244860537427    
  34         244.24627827012935   -22.93554644586056    728.05524    867.89014    728.0535582519367    867.9232749909921    726.6963777542114    866.3681243658066    67.285255     427.703        11.989612        241.38104         19.112501    17.104445     0.19351518      0.6129015        0.3860596       0         31              32         244.2460012740593    -22.935550642984147   728.18866    867.98346    728.1165439627983    867.9821463120644    728.3467774093151    867.910484649241     69.124664     57.721684      13.102934        97.960625         19.077417    19.273153     0.20585686      1.8430723        0.4093053       0         32              0.9184764196430322    
  35         244.25954700074357   -22.936253616705873   569.7646     861.23865    570.5358855281952    861.4082578031166    571.908765912056     862.9663712978363    134.01743     282.99118      21.13935         41.965702         18.364397    17.552868     0.17130113      0.16104655       2.5288055       0         110             33         244.25953291124563   -22.9362152306896     566.7927     861.9722     566.9352875485444    864.9312813573445    566.8815869167447    863.070296049118     1603.3796     3090.0908      87.75228         809.8693          15.663909    14.951572     0.059436314     0.28462532       7.954137        2         28              0.14587116768994424   
  36         244.2971665965208    -22.937411396501346   121.155594   853.26685    121.2427445897092    853.3640977524357    121.1375562697649    853.2857718169689    1761.282      1576.1711      81.38768         94.659            15.567728    15.6882925    0.050183345     0.06522114       5.7376337       0         36              34         244.2971975206526    -22.937404358318883   117.6972     853.71185    117.7292820594691    853.5768921731391    117.7265876531601    853.5469107031822    5006.1265     4427.2427      119.728935       101.89978         14.427746    14.561167     0.0259733       0.024995955      6.3050194       0         44              0.105608885112274     
  37         244.26060392153886   -22.93690641296293    557.03436    852.9888     557.0172173140544    852.9576924563531    557.2887955009937    853.1570014357567    39.370483     27.595177      9.126796         19.134418         19.694374    20.080217     0.2517546       0.75302935       0.40750864      0         88              35         244.260331058973     -22.936909533995784   557.1373     853.1401     557.118245004482     853.0709632106456    557.3287185430527    853.6147639155388    56.31317      126.867966     12.274073        251.7535          19.299974    18.41812      0.2367056       2.1550303        0.47097805      0         42              0.9047086072407617    
  38         244.28334555354454   -22.938350081411816   285.69366    838.55566    285.6798663748982    838.6712157270655    285.7071700692177    838.7452008724213    823.4607      791.6079       51.07271         55.262966         16.393194    16.436026     0.06735593      0.07581478       4.0306077       0         51              38         244.28341440989345   -22.938381546247143   281.75043    838.4721     281.97742697217524   838.4458156183969    281.9579391553998    838.4667686223984    1619.6974     1541.8636      70.80458         75.8107           15.652916    15.706386     0.04747416      0.053396694      4.913851        0         40              0.2548397060605507    
