Name|Sp|Vmag|B-V|Mv|_RA.icrs|_DE.icrs
Gl 439  |dK8         |  8.96| 1.13| 7.18|11 44 40.6|+30 57 32
Gl 440  |DQ6         | 11.50| 0.19|13.20|11 45 42.7|-64 50 27
GJ 1149 |DC9         | 16.39| 0.66|14.75|11 45 44.7|+63 05 57
Gl 441  |dK8         |  9.02| 1.17| 7.43|11 45 55.9|+72 05 41
Gl 443  |M3          | 11.69| 1.48|11.26|11 46 43.3|-14 00 51
Gl 442  |G5 V        |  4.90| 0.66| 4.84|11 46 31.4|-40 30 02
Gl 442  |            | 15.00|     |15.00|11 46 32.4|-40 29 44
NN 3684 |m           | 13.60|     |12.45|11 47 04.7|+70 02 00
GJ 1150 |dM0  p      |  9.62| 1.26| 7.89|11 47 02.3|+50 58 40
Gl 444  |dK8         |  9.02| 1.12| 7.29|11 47 04.2|-11 49 25
Gl 444  |            | 14.20|     |12.50|11 47 04.2|-11 49 25
Gl 445  |sdM4        | 10.80| 1.60|12.21|11 47 41.4|+78 41 27
Gl 446  |G5 V        |  6.48| 0.68| 5.14|11 47 15.4|-30 17 10
NN 3685 |m           | 13.25|     |12.28|11 47 40.8|+00 15 15
NN 3686 |m           | 17.60|     |16.60|11 47 41.8|+00 15 03
Gl 447  |dM4.5       | 11.12| 1.75|13.51|11 47 44.9|+00 48 20
NN 3687 |G5/6 V      |  7.09| 0.77| 5.54|11 48 03.4|-35 13 32
NN 3688 |k           | 12.90| 1.46|11.12|11 48 19.2|-11 17 11
Gl 448  |A3 V        |  2.14| 0.09| 1.63|11 49 04.0|+14 34 20
Gl 449  |F9 V        |  3.61| 0.55| 3.58|11 50 41.3|+01 45 53
GJ 1151 |m           | 13.25| 1.84|13.68|11 50 58.4|+48 22 36
Gl 450  |M1 Ve       |  9.73| 1.51|10.19|11 51 08.0|+35 16 21
GJ 1152 |G7 IV       |  9.64| 0.78| 7.90|11 51 37.3|+35 11 24
NN 3689 |K0          |  7.54| 1.06| 6.54|11 52 21.1|+09 56 54
NN 3690 |m           | 15.00|     |14.00|11 52 18.1|+10 01 00
Gl 451  |G8 VI       |  6.45| 0.75| 6.77|11 52 58.6|+37 43 10
Gl 451  |            | 12.00|     |12.00|11 52 58.6|+37 43 10
NN 3691 |m           | 14.60|     |13.26|11 52 57.8|+24 28 40
Gl 452  |M3          | 11.87| 1.54|11.44|11 53 15.9|-07 22 25
Gl 452  |f           | 19.40|     |19.00|11 53 16.9|-07 22 31
NN 3692 |M4          | 13.61| 1.70|12.50|11 53 12.9|-31 23 54
NN 3693 |M6  :       | 17.89| 1.72|17.13|11 53 53.1|+06 59 52
Gl 452.1|M3.5        | 12.77| 1.69|12.68|11 54 08.4|+09 48 22
Wo 9376 |G5          | 10.97| 0.92| 8.93|11 54 24.0|-51 23 12
Gl 452.2|F7 V        |  6.75| 0.52| 3.99|11 54 25.9|-37 44 57
Gl 452.2|            |  8.10|     | 5.30|11 54 25.9|-37 44 57
Gl 452.3|dG6         |  8.22| 0.71| 5.29|11 54 31.9|+19 24 42
Gl 452.3|dG7         |  8.43| 0.76| 5.50|11 54 34.9|+19 25 42
Gl 452.4|M0 Ve       | 10.52| 1.39| 8.64|11 54 57.6|+28 44 16
Gl 452.5|G5 V        |  7.29| 0.64| 4.88|11 55 01.4|-56 05 46
Gl 452.5|            |  7.70|     | 5.30|11 55 01.4|-56 05 46
Wo 9381 |M1.5        | 11.50| 1.44| 9.91|11 55 07.3|+00 58 26
NN 3694 |m           | 14.30|     |12.60|11 55 44.0|-18 54 33
NN 3695 |M2.5        | 11.86| 1.45|10.27|11 57 32.6|+11 49 41
Gl 453  |K5 V        |  6.98| 1.15| 7.02|11 57 56.2|-27 42 25
NN 3696 |m           | 14.08|     |12.82|11 58 18.2|+42 34 29
NN 3697 |m           | 12.07|     |10.19|11 58 59.9|+42 39 40
GJ 1153 |K2 V        |  7.94| 0.98| 6.43|11 59 10.0|-20 21 16
NN 3698 |M3          | 12.74| 1.55|11.60|12 00 41.1|-13 49 13
NN 3699 |m           | 15.00|     |14.00|12 00 40.1|-13 49 13
Gl 454  |K0 IV       |  5.55| 0.77| 5.02|12 00 44.1|-10 26 49
Gl 454.1|K4          | 10.96| 1.12| 9.30|12 01 07.2|-01 43 55
NN 3700 |M5-6        | 12.34| 1.46|10.83|12 01 40.5|-12 13 54
Gl 454.2|G0 V    J   |  7.35| 0.59| 4.51|12 01 46.1|-34 39 00
Gl 454.2|            |  8.10|     | 5.30|12 01 46.1|-34 39 00
Gl 454.3|K0 V        |  8.38| 1.15| 6.70|12 02 20.4|+43 08 24
Gl 455  |M3          | 12.84| 1.75|11.30|12 02 18.6|+28 35 17
NN 3701 |F6 V        |  5.15| 0.41| 3.00|12 03 39.9|-42 25 30
NN 3702 |M4.5        | 14.00|     |13.00|12 03 58.3|-33 01 27
NN 3703 |G8 IIIa CN  |  4.13| 0.98| 2.16|12 05 12.8|+08 43 56
NN 3704 |M4          | 13.07|     |12.47|12 05 28.8|+69 32 21
Gl 455.1|K5 V        |  9.99| 1.34| 8.11|12 05 51.5|-18 52 20
Gl 455.2|F2 III      |  4.15| 0.34| 2.71|12 06 52.4|-64 36 50
Gl 455.3|F2 III-IV   |  4.02| 0.32| 3.27|12 08 25.0|-24 43 44
Gl 456  |dM2         | 11.24| 1.41|10.44|12 08 22.6|-00 28 58
Wo 9390 |G2 V        |  6.81| 0.66| 5.03|12 09 28.3|-11 51 26
Wo 9390 |K5          |  9.20|     | 7.40|12 09 30.3|-11 51 20
NN 3705 |DA4         | 13.50|     |11.90|12 09 34.9|-03 33 11
NN 3706 |K0 V        |  7.47| 0.79| 5.78|12 09 37.3|+40 15 10
Gl 456.1|K5 V        |  8.45| 1.14| 7.03|12 09 54.6|-46 12 28
Gl 456.1|m           | 13.25| 1.56|11.83|12 09 57.6|-46 11 34
NN 3707 |m           | 12.06| 1.58|12.31|12 10 05.3|-15 04 17
Wo 9393 |M2 V        | 10.67| 1.35| 8.89|12 10 57.2|+41 03 31
NN 3708 |M2:         | 11.68| 1.59|11.03|12 11 12.1|-19 57 37
NN 3709 |m           | 12.62| 1.68|11.97|12 11 17.1|-19 58 19
NN 3710 |DA9         | 15.79| 0.58|14.26|12 11 29.6|+57 24 08
NN 3711 |K2          |  8.03| 0.88| 6.25|12 11 27.7|+53 25 18
NN 3712 |K3          |  8.23|     | 6.45|12 11 26.8|+53 25 06
Wo 9394 |F6 V-VI     | 10.18| 0.47| 8.30|12 12 01.2|+13 15 39
Gl 457  |dM0         | 10.04| 1.28| 8.29|12 12 05.1|+58 55 37
NN 3713 |m           | 12.91|     |11.18|12 12 11.2|+48 49 05
Gl 458  |dM1.5       |  9.79| 1.43| 9.17|12 12 20.5|+54 29 06
Gl 458  |m           | 13.33| 1.61|12.71|12 12 21.5|+54 29 18
Wo 9395 |K3          |  9.96| 1.00| 6.77|12 12 25.2|-06 21 38
NN 3714 |M2 V        | 11.41| 1.51| 9.90|12 12 28.8|+39 40 30
Gl 458.1|G4 V        |  7.43| 0.71| 5.77|12 12 28.9|-03 05 03
NN 3715 |G8 V        |  7.92| 0.79| 5.70|12 12 57.9|+10 02 14
Wo 9397 |M1.5        | 11.96| 1.45| 9.68|12 13 21.0|+16 41 39
NN 3716 |A2 m        |  5.85| 0.27| 6.70|12 13 25.8|+10 15 43
GJ 1154 |m           | 13.73| 1.77|14.09|12 14 16.6|+00 37 17
NN 3717 |m           | 12.16| 1.48|10.22|12 14 26.1|+24 35 26
Gl 458.2|M2 V        | 10.52| 1.46| 9.18|12 15 09.0|+48 43 59
Gl 459  |A3 V        |  3.30| 0.08| 2.06|12 15 26.0|+57 01 56
NN 3718 |m           | 11.89|     | 9.90|12 15 28.0|+39 11 17
Gl 459.2|K4 V        |  9.18| 1.50| 7.40|12 16 43.3|+44 24 07
GJ 1155 |sdM3        | 13.28| 1.62|11.59|12 16 51.3|+02 58 10
GJ 1155 |DA s        | 15.32| 0.38|13.63|12 16 51.3|+02 58 10
NN 3719 |dM4-5e      | 14.15| 1.62|12.69|12 16 58.6|+31 09 25
Wo 9403 |dM1.5e      | 11.50| 1.44| 9.09|12 17 47.5|+46 37 22
NN 3720 |m           | 16.32| 1.98|15.40|12 18 45.0|+29 45 34
GJ 1156 |dM   e      | 13.81| 1.88|14.73|12 19 00.4|+11 07 31
Gl 459.3|M2 V        | 10.63| 1.44| 9.12|12 19 24.4|+28 22 54
Gl 460  |F0 IV       |  6.15| 0.30| 5.02|12 20 17.5|+26 00 04
Gl 461  |M0 V        | 10.10| 1.47| 9.10|12 20 26.0|+00 35 02
Gl 462  |M0 Ve       |  9.45| 1.36| 8.95|12 21 54.0|+42 08 02
NN 3721 |M0          | 11.38| 1.34| 9.16|12 22 21.3|+25 10 13
GJ 1157 |k           | 13.62| 1.61|12.81|12 23 02.9|-46 37 36
Gl 463  |M3          | 11.58| 1.45|10.30|12 23 01.1|+64 01 52
NN 3722 |m           | 11.25|     |10.74|12 23 33.0|+67 11 17
Gl 464  |dM2         | 10.39| 1.44| 8.90|12 23 53.4|+12 34 50
Gl 464.1|G6 IV       |  8.78| 0.74| 7.40|12 24 29.8|+31 16 48
Gl 465  |dM4         | 11.28| 1.60|11.53|12 24 52.8|-18 14 31
NN 3723 |G5          |  8.10|     | 6.80|12 24 58.8|-04 13 29
NN 3724 |m           | 16.58| 1.88|14.50|12 25 01.3|+23 23 14
GJ 2092 |DA/F        | 13.97| 0.40|13.57|12 26 38.2|-66 12 46
NN 3725 |K3 V        |  8.89| 1.02| 7.01|12 27 14.2|+27 01 30
NN 3726 |dM5  e      | 14.88| 1.73|13.00|12 26 57.3|+27 01 02
Gl 468  |K4 V        |  9.22| 1.24| 7.53|12 28 32.0|-18 17 51
NN 3727 |M2          | 10.96| 1.51|10.56|12 28 53.3|-10 39 52
NN 3728 |g           | 11.00|     |11.00|12 28 52.3|-10 39 52
Gl 469  |M3.5        | 12.06| 1.60|11.52|12 28 57.4|+08 25 35
NN 3729 |m           | 12.90|     |12.13|12 29 02.7|+41 43 51
Wo 9407 |K0 V        |  9.06| 0.79| 5.57|12 29 18.6|-30 50 27
GJ 1158 |M4          | 13.27| 1.62|12.33|12 29 29.0|-56 00 01
GJ 1159 |m           | 14.21| 1.55|12.52|12 29 13.7|+53 32 43
GJ 1159 |M5.5-6      | 18.00|     |16.30|12 29 13.7|+53 33 01
NN 3730 |dM5         | 14.18| 1.60|12.49|12 29 27.6|+22 59 49
Gl 469.1|G8 V        |  9.03| 0.70| 7.50|12 29 43.1|-03 20 03
NN 3731 |M3.5        | 13.00|     |11.90|12 29 54.8|-05 27 26
NN 3732 |M3.5:       | 14.25|     |13.14|12 29 54.8|-05 27 26
Gl 469.2|G0 V    J   |  6.46| 0.58| 4.84|12 30 04.9|-13 23 36
Gl 469.2|            |  9.20|     | 7.60|12 30 04.9|-13 23 36
Gl 471  |dM1         |  9.70| 1.45| 8.82|12 31 16.2|+08 48 36
GJ 1160 |K2 V        |  8.12| 0.93| 6.34|12 31 18.8|+55 07 09
Gl 471.2|F0 IV       |  4.30| 0.37| 2.99|12 32 03.9|-16 11 48
NN 3733 |m           | 13.22|     |11.28|12 32 20.5|+31 35 55
NN 3734 |M4          | 12.90| 1.56|11.26|12 32 26.4|+20 23 27
Gl 472  |K0 V        |  7.13| 0.85| 6.54|12 33 31.6|-68 45 18
Gl 473  |dM5.5eJ     | 13.04| 1.83|14.87|12 33 17.2|+09 01 15
Gl 473  |M7          | 13.30|     |15.10|12 33 17.2|+09 01 15
Gl 474  |K0 III      |  6.24| 1.05| 4.89|12 33 47.5|+33 23 04
Gl 475  |G0 V        |  4.27| 0.59| 4.57|12 33 44.3|+41 21 25
NN 3735 |K3/4 V      |  9.05| 1.11| 7.17|12 33 59.4|-14 38 22
Gl 476  |M3          | 11.42| 1.42|10.63|12 35 00.6|+09 49 44
GJ 1161 |K4 V        |  7.91| 1.04| 6.87|12 35 33.8|-34 52 53
GJ 1161 |            | 11.91| 1.60|10.87|12 35 37.8|-34 54 17
Gl 477  |M1          | 11.10| 1.48|10.58|12 35 58.7|-45 56 18
Gl 478  |m           | 11.00| 1.30| 8.31|12 36 50.1|-76 57 16
NN 3736 |M3: V       | 13.10| 1.60|11.30|12 36 22.9|-04 22 43
Gl 479  |M3          | 10.67| 1.54|11.09|12 37 52.7|-52 00 04
Gl 479.1|dG2  e      |  6.96| 0.59| 4.62|12 37 19.1|+79 12 55
GJ 2095 |DA6         | 13.96| 0.18|12.87|12 38 45.7|-49 49 05
NN 3737 |M4          | 12.74| 1.69|13.46|12 38 49.5|-38 22 29
GJ 1162 |m           | 13.52| 1.60|12.04|12 38 47.2|-04 19 27
Gl 480  |dM4         | 11.52| 1.48|11.04|12 38 52.6|+11 41 44
GJ 2096 |K5 V        |  9.05| 1.20| 7.50|12 39 51.7|-77 50 35
NN 3738 |m           | 12.14|     |10.55|12 39 04.7|+47 02 22
NN 3739 |m           | 14.81| 1.63|13.17|12 39 43.8|+25 30 49
Gl 480.1|M3.5        | 12.24| 1.73|11.80|12 40 49.0|-43 34 17
Gl 481  |K4          |  7.96| 1.12| 7.08|12 41 06.0|+15 22 37
Gl 482  |F0 V        |  3.46| 0.36| 3.43|12 41 39.1|-01 26 56
Gl 482  |F0 V        |  3.52|     | 3.49|12 41 39.1|-01 26 56
NN 3740 |k-m         | 13.50|     |12.28|12 42 16.7|-71 37 51
NN 3741 |m           | 11.66|     | 9.88|12 41 37.5|+48 14 24
NN 3742 |m           | 14.80|     |13.00|12 41 38.5|+48 14 24
NN 3743 |K3 V        |  8.29| 0.95| 6.51|12 41 44.1|+55 43 28
NN 3744 |m           | 15.84| 1.86|14.40|12 42 25.1|+77 53 21
GJ 1163 |dM4         | 12.96| 1.63|11.62|12 43 35.7|+25 06 21
Gl 483  |K3 V        |  7.04| 0.94| 6.04|12 44 14.7|+51 45 33
Gl 484  |G0 V        |  5.95| 0.55| 4.96|12 44 59.8|+39 16 44
NN 3745 |m           | 14.42|     |12.73|12 45 47.2|+52 55 22
NN 3746 |G5 V        |  6.87| 0.70| 5.23|12 46 30.5|-11 48 44
NN 3747 |M3          | 12.63| 1.54|11.20|12 47 09.9|-03 34 16
NN 3748 |M2.5        | 11.76| 1.50|10.69|12 47 00.9|+46 37 36
Gl 485  |K4 V        |  9.84| 1.29| 7.68|12 47 19.7|+31 12 50
Gl 486  |dM4         | 11.38| 1.57|11.69|12 47 57.1|+09 45 12
GJ 1164 |K4/5 V      |  9.02| 1.12| 7.43|12 48 10.9|-24 48 25
GJ 1164 |K7          | 10.04| 1.38| 8.45|12 48 09.8|-24 48 13
NN 3749 |m           | 13.65|     |11.71|12 48 09.9|+47 13 30
GJ 1165 |K2 V        |  7.94| 0.96| 6.43|12 48 31.9|-15 43 13
NN 3750 |DC8 :       | 15.56|     |14.22|12 48 16.5|+58 20 27
Gl 486.1|G7 V        |  6.31| 0.70| 5.20|12 48 47.1|+24 50 22
Wo 9417 |F6 V        |  5.85| 0.46| 3.63|12 48 39.2|+60 19 09
Gl 487  |M3          | 10.90| 1.64|11.23|12 49 02.6|+66 06 36
NN 3751 |M3.5        | 13.07| 1.56|11.10|12 49 34.0|+09 28 31
NN 3752 |G8 V        |  8.16| 0.69| 5.23|12 49 45.2|+01 11 26
NN 3753 |DA4         | 12.31| 0.03|11.41|12 50 05.1|+55 05 59
NN 3754 |DC9+        | 17.82| 1.50|15.84|12 50 08.0|+54 47 08
Wo 9418 |K8          | 10.08| 0.97| 6.59|12 49 54.8|+71 11 09
NN 3755 |m           | 14.14|     |12.15|12 50 34.8|+26 55 26
Gl 488  |M0.5Ve      |  8.49| 1.40| 8.09|12 50 43.8|-00 46 03
GJ 1166 |dM4         | 12.97| 1.60|10.98|12 51 24.2|+22 06 16
GJ 1166 |dM3-3.5     | 14.28| 1.72|12.29|12 51 29.2|+22 07 04
Wo 9420 |K1 V        |  9.42| 1.08| 6.88|12 52 49.0|+33 44 13
Wo 9421 |F5 V        |  6.11| 0.50| 3.89|12 53 10.8|-03 33 11
Gl 488.1|A7 III      |  4.26| 0.21| 2.90|12 53 26.7|-40 10 42
Wo 9423 |G1 V        |  5.88| 0.64| 4.00|12 54 58.7|-44 09 08
Gl 488.2|K5          | 10.42| 1.18| 7.58|12 54 56.4|-06 20 19
Gl 488.2|m           | 17.00|     |14.20|12 54 55.6|-06 20 04
NN 3756 |m           | 14.40| 1.74|12.87|12 55 56.5|+50 55 26
Gl 489  |K4 V        |  9.12| 1.12| 8.07|12 57 43.7|-14 27 46
Gl 490  |M0 Ve       | 10.68| 1.44| 9.06|12 57 40.2|+35 13 31
Gl 490  |dM4  e      | 13.20| 1.64|11.58|12 57 39.3|+35 13 19
Gl 491  |K0 V        |  7.56| 0.79| 5.68|12 59 01.8|-09 50 01
Gl 491  |            | 12.50|     |10.60|12 59 01.8|-09 50 01
NN 3757 |m+          | 16.00|     |14.60|12 59 24.1|+07 43 56
NN 3758 |M3.5        | 12.54| 1.56|11.50|13 00 04.3|-05 37 49
Gl 492  |DC9         | 15.79| 0.64|14.82|13 00 09.2|+03 28 38
Gl 493  |dM0.5       |  9.78| 1.20| 8.65|13 00 16.8|-02 42 15
Gl 493.1|dM5  e      | 13.40| 1.75|13.85|13 00 33.9|+05 41 09
NN 3759 |dM2         | 10.95|     | 9.65|13 01 21.0|-63 11 47
Gl 494  |dM1.5e      |  9.75| 1.47| 9.52|13 00 46.5|+12 22 33
Gl 496  |F7 V    J   |  6.27| 0.56| 4.39|13 03 46.0|-20 34 58
Gl 496  |            |  6.40|     | 4.50|13 03 46.0|-20 34 58
Gl 496.1|K9 V        |  9.06| 1.37| 7.52|13 04 57.0|-52 26 33
NN 3760 |M4          | 11.72|     |10.57|13 05 30.4|+37 08 06
Gl 498  |dK8         |  9.30| 1.17| 7.47|13 05 41.2|+49 28 16
Gl 499  |dM0         |  9.44| 1.29| 8.27|13 06 15.4|+20 43 43
Gl 499  |            | 14.90|     |13.70|13 06 15.4|+20 43 43
Gl 499.1|M5 III      |  5.60| 1.59| 3.80|13 06 23.0|+22 36 56
NN 3761 |K3 V        |  8.88| 1.04| 6.89|13 08 02.8|-77 18 33
NN 3762 |m           | 15.48| 1.86|14.40|13 06 47.1|+30 51 35
GJ 2097 |m           | 12.58| 1.62|13.55|13 07 02.3|+20 48 57
Wo 9427 |dK8         |  9.34| 1.18| 7.46|13 07 35.1|+34 24 06
Wo 9428 |M0          | 11.80| 1.55|10.11|13 08 24.5|+16 58 18
Wo 9429 |G5 IV       |  6.80| 0.67| 5.10|13 08 51.2|+05 12 27
NN 3763 |m           | 12.99|     |11.00|13 08 50.2|+16 22 05
NN 3764 |M3.5        | 12.86| 1.60|11.80|13 09 20.3|-40 09 04
NN 3765 |M0          | 11.04| 1.54| 9.62|13 08 56.2|+49 04 50
Gl 500  |G6 V        |  7.36| 0.73| 6.77|13 09 42.3|-22 11 33
GJ 1167 |dM5         | 14.18| 1.72|13.18|13 09 34.6|+28 59 05
Gl 501  |F5 V        |  4.98| 0.45| 3.55|13 09 59.0|+17 31 46
Gl 501  |F5 V        |  5.17|     | 3.74|13 09 59.0|+17 31 46
Gl 501.1|F5 IV       |  8.16| 0.58| 6.50|13 10 37.0|+35 56 05
NN 3766 |m           | 15.89| 1.86|14.40|13 11 21.1|+28 33 41
Gl 501.2|G3 V        |  4.85| 0.70| 3.63|13 12 02.8|-37 48 11
NN 3767 |m           | 15.75| 1.79|13.80|13 11 46.4|+25 20 26
Gl 502  |G0 V        |  4.26| 0.57| 4.65|13 11 52.0|+27 52 43
NN 3768 |DC9         | 16.00| 0.78|14.68|13 08 45.9|+85 02 28
Wo 9433 |G2          |  9.34| 0.58| 7.50|13 11 23.4|+73 51 20
NN 3769 |K0          |  7.56|     | 6.18|13 12 44.0|-02 15 53
NN 3770 |DC9+        | 17.05| 1.40|16.20|13 12 56.6|-47 28 09
GJ 1168 |dM          | 13.02| 1.58|11.76|13 13 05.0|+20 11 26
Gl 503  |F7 IV       |  4.92| 0.48| 3.51|13 14 14.8|-59 06 12
NN 3771 |K2 II       |  7.97| 1.17| 6.50|13 13 28.0|+56 40 49
Gl 503.2|G1  V       |  6.83| 0.60| 4.61|13 13 36.6|+56 42 31
NN 3772 |m           | 13.48| 1.64|11.79|13 14 05.9|+03 53 57
NN 3773 |m           | 13.05|     |11.22|13 16 16.2|-73 07 59
Gl 503.3|K1 IV       |  5.22| 1.03| 3.60|13 15 58.5|-19 56 37
GJ 1169 |m           | 13.26| 1.65|12.25|13 16 33.6|+27 52 22
Gl 504  |G0 V        |  5.20| 0.58| 4.55|13 16 47.0|+09 25 28
Gl 505  |K1 V        |  6.59| 0.94| 6.21|13 16 51.2|+17 00 59
Gl 505  |M1 V        |  9.60|     | 9.20|13 16 51.2|+17 00 59
NN 3774 |M2          | 11.69|     | 9.91|13 16 53.4|+23 10 08
NN 3775 |m           | 12.97|     |12.13|13 18 01.7|+02 14 05
GJ 1170 |dM2         | 11.29| 1.41| 9.60|13 17 58.2|+36 18 00
Gl 506  |G6 V        |  4.74| 0.71| 4.99|13 18 24.2|-18 18 39
NN 3776 |K1 V        |  8.13| 1.14| 6.80|13 18 52.0|+33 26 21
Gl 506.2|dF7         |  7.28| 0.50| 3.67|13 15 11.0|+84 45 08
Gl 507  |dM1.5       |  9.51| 1.47| 9.02|13 19 33.5|+35 06 37
Gl 507  |M3          | 12.10| 1.58|11.61|13 19 33.5|+35 06 37
NN 3777 |M3.5        | 12.80|     |11.60|13 20 03.2|-35 24 06
Gl 507.1|dM2         | 10.62| 1.51| 9.14|13 19 40.1|+33 20 46
Gl 508  |dM1.5eJ     |  8.94| 1.48| 9.00|13 19 45.6|+47 46 39
Gl 508  |            |  9.80|     | 9.90|13 19 45.6|+47 46 39
Gl 508.1|A2 V        |  2.75| 0.04| 1.66|13 20 36.1|-36 42 41
Gl 508.2|dM1         | 10.62| 1.44| 9.55|13 20 58.3|+34 16 46
NN 3778 |m           | 11.90|     |10.10|13 21 35.5|+03 45 59
NN 3779 |M3.5        | 12.93| 1.62|12.23|13 22 56.8|+24 27 55
NN 3780 |m           | 12.90|     |12.39|13 23 37.8|-25 54 43
NN 3781 |G5 V        |  7.06| 0.77| 5.51|13 23 38.6|+02 43 25
NN 3782 |G5 V        |  7.36| 0.83| 5.81|13 23 40.6|+02 43 32
Gl 508.3|K7          | 11.79| 1.40| 9.10|13 23 44.3|-14 02 46
Gl 509  |dM0         |  9.52| 1.33| 8.15|13 23 32.7|+29 14 16
Gl 509  |dK6         |  9.80|     | 8.40|13 23 32.7|+29 14 16
Gl 509.1|M0 V        |  9.75| 1.26| 8.20|13 23 22.8|+57 54 21
NN 3783 |dA1  p      |  2.25| 0.02| 0.34|13 23 55.6|+54 55 34
NN 3784 |A1 m        |  3.95| 0.13| 2.04|13 23 56.6|+54 55 16
Gl 510  |M2.5        | 11.02| 1.53|10.30|13 25 49.0|-28 22 28
NN 3785 |A5 V        |  4.01| 0.16| 2.07|13 25 14.0|+54 59 18
Gl 511  |K3 V        |  8.72| 0.89| 6.31|13 26 39.3|-24 17 38
Gl 511.1|dG6         |  6.50| 0.74| 5.46|13 25 59.4|+63 15 38
NN 3786 |M4          | 13.60|     |12.50|13 27 19.2|-31 10 40
Gl 511.2|K1 III      |  4.75| 1.10| 3.54|13 27 27.3|-15 58 25
Gl 512  |dM4         | 11.32| 1.52|10.94|13 28 21.3|-02 21 29
Gl 512  |M4          | 13.69| 1.68|13.31|13 28 21.3|-02 21 29
Gl 512.1|G2.5 Va     |  4.98| 0.71| 5.23|13 28 25.8|+13 46 43
Gl 513  |M5          | 12.13| 1.46|10.70|13 29 21.7|+11 26 26
NN 3787 |m           | 13.10|     |11.40|13 30 26.0|-52 03 29
Gl 514  |M1 V        |  9.05| 1.50| 9.76|13 29 59.9|+10 22 38
Gl 514.1|M4  :       | 14.25| 1.65|13.39|13 30 02.9|-08 42 28
Gl 515  |DA5         | 12.31| 0.08|11.26|13 30 13.8|-08 34 26
GJ 1171 |            | 14.73| 1.80|13.93|13 30 31.2|+19 09 28
NN 3788 |G9 V        |  7.36| 0.78| 5.72|13 31 40.0|-02 19 00
NN 3789 |M4  e       | 11.95| 1.57|12.45|13 31 46.4|+29 16 27
NN 3790 |m           | 12.26|     |10.75|13 31 50.6|+23 23 20
Wo 9448 |M0 V        | 11.11| 1.44| 9.53|13 31 58.6|+31 08 01
Wo 9448 |            | 11.30|     | 9.70|13 31 58.6|+31 08 01
Gl 516  |dM3.5e      | 12.01| 1.53|11.01|13 32 44.8|+16 48 39
Gl 516  |dM3.5e      | 12.30|     |11.30|13 32 44.8|+16 48 39
GJ 2102 |K0          |  7.98| 1.00| 6.59|13 33 33.0|+08 35 13
Wo 9450 |G4 V        |  7.29| 0.67| 5.01|13 34 32.9|-38 54 29
NN 3791 |m           | 14.00|     |12.70|13 34 24.2|-26 22 15
GJ 1172 |dM0.5       |  9.97| 1.38| 8.75|13 34 21.0|+04 40 03
Wo 9452 |K7          | 10.27| 1.29| 7.99|13 32 41.3|+75 00 23
Gl 517  |K5          |  9.31| 1.21| 7.89|13 34 43.7|-08 20 31
NN 3792 |A3 V        |  3.37| 0.11| 1.21|13 34 43.0|-00 35 42
NN 3793 |m           | 13.77|     |11.89|13 34 49.1|+20 11 38
GJ 1173 |K7 V        | 10.28| 1.44| 8.69|13 35 25.1|-00 23 19
Wo 9453 |dK5         |  9.79| 1.12| 7.25|13 34 52.0|+74 29 58
Wo 9453 |k           | 13.47| 1.44|10.93|13 34 52.0|+74 29 58
Gl 518  |DZ9         | 14.65| 0.95|15.09|13 36 32.6|+03 40 49
Gl 518.1|K4          | 10.02| 1.09| 7.18|13 36 56.4|+07 46 03
NN 3794 |m           | 12.66|     |10.78|13 36 55.6|+22 58 00
Gl 518.2|G8 V        |  9.30| 0.64| 7.70|13 37 12.3|+30 05 05
Gl 518.2|            | 10.51| 0.83| 8.90|13 37 14.3|+30 05 11
Gl 519  |dM1         |  9.04| 1.42| 9.08|13 37 28.4|+35 43 06
Gl 520  |dM0.5       | 10.17| 1.40| 8.39|13 37 51.0|+48 08 17
Gl 520  |            | 11.00|     | 9.20|13 37 51.0|+48 08 17
Gl 520  |m           | 14.46| 1.66|12.68|13 37 40.1|+48 08 16
NN 3795 |M3          | 12.56| 1.52|11.10|13 38 37.2|+25 49 46
NN 3796 |M3          | 12.12| 1.58|10.70|13 38 53.9|-02 15 46
Gl 521  |dM2         | 10.23| 1.42| 9.82|13 39 24.4|+46 11 09
Gl 521.1|K7          |  9.59| 1.40| 8.88|13 40 07.5|-04 11 10
GJ 1174 |M3          | 12.76| 1.64|11.73|13 40 09.7|+43 46 23
GJ 1175 |K1 V        |  6.98| 0.86| 5.87|13 41 03.8|-34 27 54
NN 3797 |m           | 15.30| 1.73|13.57|13 40 17.9|+47 12 32
Gl 521.2|F7 V        |  6.33| 0.54| 4.23|13 40 22.9|+50 31 12
Gl 521.2|            | 10.46| 1.36| 8.36|13 40 24.8|+50 31 00
NN 3798 |m           | 15.83| 1.75|14.09|13 41 11.2|+30 01 57
NN 3799 |k-m         | 12.09| 1.50|10.30|13 41 32.4|+14 49 26
Gl 522  |M0 V        |  9.74| 1.30| 8.15|13 41 55.3|-00 07 46
NN 3800 |m           | 13.50|     |13.10|13 42 10.1|-16 00 19
GJ 1176 |K7 V        |  9.28| 1.19| 7.55|13 42 26.6|-01 41 08
NN 3801 |M3          | 11.97| 1.64|11.80|13 42 43.4|+33 17 26
NN 3802 |m           | 13.09|     |11.63|13 43 01.0|+09 04 25
Gl 524  |k           | 12.50| 1.54|11.79|13 44 48.4|-54 06 21
Gl 524.1|dM1         | 10.53| 1.34| 8.79|13 45 05.4|-04 37 13
